step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents
658,116,84,0,2,77
659,116,84,0,2,77
660,116,85,0,2,77
661,116,86,0,2,77
662,116,86,0,2,77
663,116,87,0,2,77
664,117,86,0,2,77
665,117,86,0,2,77
666,117,86,0,2,77
667,117,86,0,2,77
668,119,85,0,2,79
669,120,86,0,2,78
670,121,85,0,2,79
671,121,85,0,2,79
672,121,84,0,2,78
673,121,84,0,2,78
674,121,84,0,2,78
675,122,84,0,2,78
676,122,84,0,2,78
677,122,84,0,2,78
678,122,86,0,2,78
679,123,85,0,2,78
680,124,84,0,2,79
681,124,85,0,2,79
682,125,84,0,2,78
683,125,84,0,2,78
684,126,84,0,2,79
685,126,84,0,2,79
686,127,84,0,2,80
687,127,85,0,2,80
688,127,85,0,2,80
689,128,84,0,2,81
690,129,83,0,2,82
691,129,83,0,2,82
692,129,83,0,2,82
693,130,83,0,2,83
694,130,84,0,2,83
695,130,84,0,2,83
696,130,84,0,2,83
697,131,83,0,2,84
698,130,85,0,3,84
699,130,85,0,3,84
700,131,84,0,3,84
701,132,83,0,3,84
702,133,82,0,3,84
703,134,81,0,3,84
704,135,80,0,3,85
705,135,80,0,3,85
706,135,82,0,3,85
707,135,83,0,3,85
708,135,86,0,3,86
709,135,86,0,3,86
710,135,87,0,3,86
711,135,87,0,3,86
712,135,87,0,3,86
713,135,87,0,3,86
714,135,87,0,3,86
715,135,87,0,3,86
716,135,87,0,3,86
717,136,86,0,3,86
718,136,86,0,3,85
719,136,88,0,3,85
720,137,87,0,3,85
721,137,88,0,3,85
722,138,87,0,3,86
723,138,87,0,3,86
724,138,86,0,4,86
725,138,86,0,4,86
726,138,86,0,4,86
727,139,86,0,4,86
728,139,86,0,4,86
729,139,86,0,4,86
730,141,84,0,4,88
731,142,83,0,4,89
732,143,82,0,4,90
733,143,83,0,4,90
734,143,83,0,4,90
735,143,83,0,4,90
736,143,83,0,4,90
737,143,84,0,4,90
738,143,84,0,4,90
739,142,84,0,5,90
740,142,84,0,5,90
741,142,86,0,5,90
742,143,85,0,5,90
743,143,85,0,5,89
744,143,85,0,5,89
745,145,83,0,5,91
746,145,83,0,5,91
747,145,84,0,5,91
748,146,84,0,5,92
749,146,86,0,5,92
750,146,88,0,5,92
751,146,88,0,5,92
752,146,88,0,5,92
753,147,87,0,5,92
754,147,87,0,5,91
755,147,87,0,5,91
756,147,87,0,5,91
757,147,87,0,5,91
758,147,88,0,5,90
759,147,88,0,5,90
760,147,89,0,5,90
761,147,89,0,5,90
762,148,88,0,5,91
763,148,90,0,5,91
764,148,90,0,5,91
765,148,90,0,5,91
766,148,90,0,5,91
767,148,90,0,5,91
768,149,89,0,5,92
769,149,92,0,5,92
770,149,92,0,5,92
771,149,92,0,5,92
772,150,92,0,5,93
773,150,92,0,5,92
774,150,92,0,5,92
775,150,93,0,5,92
776,150,93,0,5,92
777,150,93,0,5,92
778,150,93,0,5,92
779,150,93,0,5,92
780,150,94,0,5,92
781,150,94,0,5,92
782,150,94,0,5,92
783,150,95,0,5,92
784,150,96,0,5,92
785,151,95,0,5,91
786,151,95,0,5,91
787,151,96,0,5,90
788,152,96,0,5,91
789,153,95,0,5,92
790,153,95,0,5,92
791,154,95,0,5,92
792,154,95,0,5,92
793,154,95,0,5,92
794,155,94,0,5,93
795,155,94,0,5,93
796,155,94,0,5,92
797,155,95,0,5,92
798,154,95,0,6,92
799,153,95,0,7,92
800,154,94,0,7,92
801,154,94,0,7,92
802,153,94,0,8,92
803,153,94,0,8,92
804,153,95,0,8,91
805,153,97,0,8,91
806,153,97,0,8,91
807,153,97,0,8,91
808,153,97,0,8,91
809,153,97,0,8,91
810,153,97,0,8,91
811,153,97,0,8,91
812,153,98,0,8,91
813,153,98,0,8,91
814,153,98,0,8,90
815,154,97,0,8,91
816,154,97,0,8,91
817,154,97,0,8,91
818,154,97,0,8,91
819,154,98,0,8,91
820,155,97,0,8,89
821,155,98,0,8,89
822,155,99,0,8,89
823,155,99,0,8,89
824,156,99,0,8,89
825,156,99,0,8,89
826,156,99,0,8,89
827,155,99,0,9,89
828,155,99,0,9,89
829,155,100,0,9,89
830,155,100,0,9,89
831,156,99,0,9,90
832,157,98,0,9,91
833,156,98,1,9,90
834,157,97,1,9,91
835,157,97,1,9,91
836,157,97,1,9,91
837,158,96,1,9,92
838,158,97,1,9,92
839,158,97,1,9,92
840,157,98,2,9,91
841,157,98,2,9,91
842,157,100,2,9,91
843,157,101,2,9,91
844,157,102,2,9,91
845,157,102,2,9,91
846,157,102,2,9,91
847,158,102,2,9,92
848,158,103,2,9,92
849,159,102,2,9,93
850,159,102,2,9,93
851,159,102,2,9,93
852,159,102,2,9,93
853,159,102,2,9,93
854,158,102,3,9,91
855,158,102,3,9,90
856,158,102,3,9,90
857,158,102,3,9,90
858,158,102,3,9,90
859,159,101,3,9,91
860,159,101,3,9,91
861,159,102,3,9,91
862,159,102,3,9,91
863,160,101,3,9,91
864,160,101,3,9,91
865,161,100,3,9,92
866,162,100,3,9,92
867,162,100,3,9,92
868,162,101,3,9,92
869,163,100,3,9,92
870,163,100,3,9,92
871,164,99,3,9,93
872,164,99,3,9,93
873,166,97,3,9,94
874,166,97,3,9,94
875,166,97,3,9,94
876,167,96,3,9,95
877,167,97,3,9,95
878,167,97,3,9,95
879,168,95,3,9,95
880,168,95,3,9,95
881,168,95,3,9,95
882,170,93,3,9,96
883,170,93,3,9,96
884,170,93,3,9,96
885,169,93,3,10,96
886,169,95,3,10,96
887,169,95,4,10,96
888,168,97,5,10,94
889,168,97,5,10,94
890,168,97,5,10,94
891,168,97,5,10,94
892,168,98,5,10,94
893,168,98,5,10,94
894,168,98,5,10,94
895,169,97,5,10,95
896,168,96,6,10,94
897,168,96,6,10,94
898,168,96,6,10,94
899,168,96,6,10,94
900,168,96,6,10,94
901,169,97,6,10,93
902,169,97,6,10,93
903,169,97,6,10,93
904,169,98,6,10,93
905,169,99,6,10,93
906,169,99,6,10,93
907,169,99,6,10,93
908,170,98,6,10,94
909,170,98,6,10,94
910,170,98,6,10,94
911,171,98,6,10,95
912,172,97,6,10,95
913,173,95,7,10,95
914,174,94,7,10,95
915,174,94,7,10,95
916,174,94,7,10,95
917,174,94,7,10,95
918,174,94,7,10,95
919,174,95,7,10,95
920,174,95,7,10,95
921,174,95,7,10,95
922,174,95,7,10,95
923,174,95,7,10,95
924,174,95,7,10,95
925,174,96,7,10,95
926,174,97,7,10,95
927,175,96,7,10,96
928,175,96,7,10,96
929,175,97,7,10,96
930,175,97,7,10,96
931,175,96,8,10,95
932,175,96,8,10,95
933,175,96,8,10,94
934,175,96,8,10,94
935,175,96,8,10,94
936,175,96,8,10,94
937,176,95,8,10,95
938,177,94,8,10,96
939,177,94,8,10,96
940,177,93,8,10,96
941,177,93,8,10,96
942,177,93,8,10,96
943,177,92,9,10,96
944,177,92,9,10,96
945,176,92,10,10,95
946,176,92,10,10,95
947,176,93,10,10,95
948,176,93,10,10,94
949,176,93,10,10,94
950,176,93,10,10,94
951,176,94,10,10,93
952,176,96,10,10,93
953,176,96,10,10,93
954,176,96,10,10,93
955,176,96,10,10,93
956,176,96,10,10,93
957,176,96,10,10,93
958,177,95,10,10,94
959,179,93,10,10,94
960,180,92,10,10,95
961,181,91,10,10,96
962,181,92,10,10,96
963,181,92,10,10,96
964,182,91,10,10,95
965,183,90,10,10,96
966,183,90,10,10,96
967,183,91,10,10,96
968,183,91,10,10,95
969,183,92,10,10,95
970,183,93,10,10,95
971,184,92,10,10,96
972,184,92,10,10,96
973,184,93,10,10,96
974,184,93,10,10,96
975,184,93,10,10,96
976,184,94,10,10,96
977,186,93,10,10,98
978,187,92,10,10,99
979,187,92,10,10,99
980,187,92,10,10,99
981,187,92,10,10,99
982,187,92,10,10,99
983,187,92,10,10,99
984,187,92,10,10,99
985,187,92,10,10,99
986,187,92,10,10,99
987,187,92,10,10,99
988,187,92,10,10,99
989,187,92,10,10,99
990,188,92,10,10,99
991,188,92,10,10,99
992,188,93,10,10,99
993,188,93,10,10,98
994,189,94,10,10,98
995,189,94,10,10,98
996,189,94,10,10,98
997,189,94,10,10,98
998,189,94,10,10,98
999,189,94,10,10,98
1000,189,94,10,10,98
1001,189,94,10,10,97
1002,189,95,10,10,97
1003,190,94,10,10,98
1004,190,94,10,10,97
1005,190,94,10,10,97
1006,190,94,10,10,95
1007,190,94,10,10,95
1008,190,94,10,10,95
1009,191,93,10,10,94
1010,191,93,10,10,94
1011,194,90,10,10,96
1012,194,90,10,10,96
1013,195,89,10,10,96
1014,195,89,10,10,95
1015,195,89,10,10,95
1016,196,88,10,10,96
1017,196,88,10,10,96
1018,196,87,11,10,95
1019,196,87,11,10,95
1020,196,87,11,10,95
1021,196,88,11,10,95
1022,196,88,11,10,95
1023,197,87,11,10,96
1024,197,87,11,10,96
1025,197,88,11,10,96
1026,197,88,11,10,96
1027,198,87,11,10,97
1028,198,88,11,10,97
1029,198,88,11,10,96
1030,198,88,11,10,96
1031,197,88,12,10,95
1032,197,88,12,10,94
1033,199,86,12,10,94
1034,199,87,12,10,94
1035,199,87,12,10,94
1036,200,86,12,10,95
1037,200,86,12,10,95
1038,200,86,12,10,95
1039,201,86,12,10,95
1040,201,86,12,10,95
1041,201,86,12,10,94
1042,201,86,12,10,94
1043,202,85,12,10,95
1044,202,85,12,10,95
1045,202,85,12,10,95
1046,203,85,12,10,96
1047,203,85,13,10,96
1048,203,85,13,10,96
1049,203,85,13,10,96
1050,203,85,13,10,96
1051,203,85,13,10,96
1052,204,85,13,10,96
1053,204,85,13,10,96
1054,204,85,13,10,96
1055,204,84,13,11,96
1056,204,84,13,11,96
1057,204,85,13,11,96
1058,204,85,13,11,96
1059,205,84,13,11,97
1060,205,84,13,11,97
1061,206,86,13,11,97
1062,206,86,13,11,97
1063,206,86,13,11,97
1064,206,87,13,11,97
1065,207,86,13,11,97
1066,207,86,13,11,97
1067,208,86,13,11,98
1068,209,85,13,11,98
1069,210,84,13,11,99
1070,210,85,13,11,99
1071,211,84,13,11,99
1072,211,84,13,11,99
1073,211,84,13,11,99
